date,nav,scheme_code,scheme_name,fund_house
2023-10-25,146.7862,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-10-26,145.453,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-10-27,147.2793,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-10-30,147.1974,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-10-31,147.5626,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-01,147.1546,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-02,147.8192,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-03,148.7205,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-06,149.592,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-07,150.0494,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-08,150.5331,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-09,150.3998,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-10,150.5781,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-13,151.314,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-15,152.7398,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-16,152.8377,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-17,153.408,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-20,153.9873,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-21,154.9701,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-22,154.4341,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-23,154.3926,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
2023-11-24,154.683,125497,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund
