date,nav,scheme_code,scheme_name,fund_house
2016-09-05,3270.1044,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-06,3270.7148,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-07,3271.3271,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-08,3271.9333,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-09,3272.5127,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-11,3273.7481,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-12,3274.3642,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-13,3274.9709,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-14,3275.5936,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-15,3276.2065,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-16,3276.801,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-18,3278.0521,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-19,3278.663,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-20,3279.2752,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-21,3279.876,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-22,3280.4814,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-23,3281.1054,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-25,3282.3437,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-26,3282.9408,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
2016-09-27,3283.5518,119092,HDFC Money Market Fund - Growth Option - Direct Plan,HDFC Mutual Fund
