date,nav,scheme_code,scheme_name,fund_house
2013-03-13,30.9439,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-14,30.9591,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-15,30.9911,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-18,30.9884,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-19,30.9834,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-20,30.9819,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-21,30.9869,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-22,30.9812,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-25,30.9981,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-26,30.9902,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-28,31.0136,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-03-29,31.0185,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-01,31.055,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-02,31.0775,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-03,31.0919,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-04,31.0996,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-05,31.0949,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-08,31.1187,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-09,31.1389,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-10,31.1225,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-11,31.1374,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-12,31.1464,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-15,31.1685,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-16,31.1787,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-17,31.1958,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-18,31.2408,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-19,31.2458,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-22,31.2718,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-23,31.2609,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-24,31.2657,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-25,31.3033,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-26,31.3278,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-29,31.3398,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-04-30,31.3503,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-02,31.3834,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-03,31.3656,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-06,31.3995,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-07,31.4319,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-08,31.4751,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-09,31.4968,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-10,31.4982,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-13,31.4879,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
2013-05-14,31.5705,120841,quant Mid Cap Fund - Growth Option - Direct Plan,quant Mutual Fund
